# To get updated spinners with their live preview:
  Open your terminal & type: python -m rich.spinner



# Currently available spinners (23-11-2025)
▰▰▰▰▱▱▱ 'aesthetic'
◞ 'arc'
↙ 'arrow'
↘️  'arrow2'
▹▸▹▹▹ 'arrow3'
o 'balloon'
o 'balloon2'
ββββββρ 'betaWave'
⠁ 'bounce'
(●     ) 'bouncingBall'
[ ===] 'bouncingBar'
▖ 'boxBounce'
▄ 'boxBounce2'
🎄 'christmas'
◠ 'circle'
◒ 'circleHalves'
◴ 'circleQuarters'
🕒  'clock'
⠏ 'dots'
⡠ 'dots10'
⠈ 'dots11'
⠅⡘ 'dots12'
⢿ 'dots2'
⠓ 'dots3'
⠆ 'dots4'
⠒ 'dots5'
⠒ 'dots6'
⠒ 'dots7'
⠒ 'dots8'
⣃ 'dots8Bit'
⣸ 'dots9'
b 'dqpb'
🌎  'earth'
- 'flip'
    'grenade'
▋ 'growHorizontal'
▄ 'growVertical'
☱ 'hamburger'
💙  'hearts'
≡ 'layer'
\ 'line'
— 'line2'
█████████████▁▁▁▁▁▁▁ 'material'
🙈  'monkey'
🌔  'moon'
▓ 'noise'
┐ 'pipe'
∙∙∙ 'point'
▐     ⠈  ▌ 'pong'
🏃  'runner'
▐___________/|_▌ 'shark'
    'simpleDots'
..  'simpleDotsScrolling'
😝  'smiley'
◳ 'squareCorners'
╪ 'squish'
✺ 'star'
x 'star2'
⊶ 'toggle'
㊂ 'toggle10'
⧆ 'toggle11'
☗ 'toggle12'
* 'toggle13'
▪ 'toggle2'
■ 'toggle3'
▫ 'toggle4'
▯ 'toggle5'
၀ 'toggle6'
⦿ 'toggle7'
◌ 'toggle8'
◎ 'toggle9'
◥ 'triangle'
⛅️  'weather'
